sentence,active_clause,passive_clause,number_of_passive,of_the,sentence_length_in_characters,sentence_length_in_words,longest_word,longest_word_length,punctuation,punctuation_length
"
It was in Burma, a sodden morning of the rains.",False,False,0,True,48,12,morning,7,",.",2
"A sickly light, like yellow tinfoil, was slanting over the high walls into the jail yard.",False,False,0,False,89,19,slanting,8,",,.",3
"We were waiting outside the condemned cells, a row of sheds fronted with double bars, like small animal cages.",False,False,0,False,110,22,condemned,9,",,.",3
Each cell measured about ten feet by ten and was quite bare within except for a plank bed and a pot of drinking water.,False,False,0,False,118,25,measured,8,.,1
"In some of them brown silent men were squatting at the inner bars, with their blankets draped round them.",False,False,0,True,105,21,squatting,9,",.",2
"These were the condemned men, due to be hanged within the next week or two.",False,True,1,False,75,17,condemned,9,",.",2
One prisoner had been brought out of his cell.,False,True,1,False,46,10,prisoner,8,.,1
"He was a Hindu, a puny wisp of a man, with a shaven head and vague liquid eyes.",False,False,0,False,79,21,shaven,6,",,.",3
"He had a thick, sprouting moustache, absurdly too big for his body, rather like the moustache of a comic man on the films.",False,False,0,False,122,27,sprouting,9,",,,.",4
Six tall Indian warders were guarding him and getting him ready for the gallows.,False,False,0,False,80,15,guarding,8,.,1
"Two of them stood by with rifles and fixed bayonets, while the others handcuffed him, passed a chain through his handcuffs and fixed it to their belts, and lashed his arms tight to his sides.",False,False,0,True,191,39,handcuffed,10,",,,.",4
"They crowded very close about him, with their hands always on him in a careful, caressing grip, as though all the while feeling him to make sure he was there.",False,False,0,False,158,34,caressing,9,",,,.",4
It was like men handling a fish which is still alive and may jump back into the water.,False,False,0,False,86,19,handling,8,.,1
"But he stood quite unresisting, yielding his arms limply to the ropes, as though he hardly noticed what was happening.",False,False,0,False,118,23,unresisting,11,",,.",3
"Eight o'clock struck and a bugle call, desolately thin in the wet air, floated from the distant barracks.",False,False,0,False,105,21,desolately,10,"',,.",4
"The superintendent of the jail, who was standing apart from the rest of us, moodily prodding the gravel with his stick, raised his head at the sound.",False,False,0,True,149,31,superintendent,14,",,,.",4
"He was an army doctor, with a grey toothbrush moustache and a gruff voice.",False,False,0,False,74,16,toothbrush,10,",.",2
"‘For God's sake hurry up, Francis,’ he said irritably.",False,False,0,False,54,14,irritably,9,"‘',,’.",6
‘The man ought to have been dead by this time.,False,False,0,False,46,11,ought,5,‘.,2
"Aren't you ready yet?’
Francis, the head jailer, a fat Dravidian in a white drill suit and gold spectacles, waved his black hand.",False,False,0,False,129,30,spectacles,10,"'?’,,,.",7
"‘Yes sir, yes sir,’ he bubbled.",False,False,0,False,31,10,bubbled,7,"‘,,’.",5
‘All iss satisfactorily prepared.,False,False,0,False,33,5,satisfactorily,14,‘.,2
The hangman iss waiting.,False,False,0,False,24,5,hangman,7,.,1
"We shall proceed.’
‘Well, quick march, then.",False,False,0,False,44,10,proceed.’,9,".’‘,,.",6
"The prisoners can't get their breakfast till this job's over.’
We set out for the gallows.",False,False,0,False,90,19,prisoners,9,''.’.,5
"Two warders marched on either side of the prisoner, with their rifles at the slope; two others marched close against him, gripping him by arm and shoulder, as though at once pushing and supporting him.",False,False,0,True,201,40,supporting,10,",;,,.",5
"The rest of us, magistrates and the like, followed behind.",False,False,0,False,58,13,magistrates,11,",,.",3
"Suddenly, when we had gone ten yards, the procession stopped short without any order or warning.",False,False,0,False,96,19,procession,10,",,.",3
"A dreadful thing had happened — a dog, come goodness knows whence, had appeared in the yard.",False,False,0,False,92,20,dreadful,8,"—,,.",4
"It came bounding among us with a loud volley of barks, and leapt round us wagging its whole body, wild with glee at finding so many human beings together.",False,False,0,False,154,32,bounding,8,",,.",3
"It was a large woolly dog, half Airedale, half pariah.",False,False,0,False,54,13,Airedale,8,",,.",3
"For a moment it pranced round us, and then, before anyone could stop it, it had made a dash for the prisoner, and jumping up tried to lick his face.",False,False,0,False,148,35,prisoner,8,",,,,.",5
"Everyone stood aghast, too taken aback even to grab at the dog.",False,False,0,False,63,14,Everyone,8,",.",2
‘Who let that bloody brute in here?’ said the superintendent angrily.,False,False,0,False,69,14,superintendent,14,‘?’.,4
"‘Catch it, someone!’
A warder, detached from the escort, charged clumsily after the dog, but it danced and gambolled just out of his reach, taking everything as part of the game.",False,False,0,True,178,39,everything,10,"‘,!’,,,,.",9
"A young Eurasian jailer picked up a handful of gravel and tried to stone the dog away, but it dodged the stones and came after us again.",False,False,0,False,136,29,Eurasian,8,",.",2
Its yaps echoed from the jail wails.,False,False,0,False,36,8,echoed,6,.,1
"The prisoner, in the grasp of the two warders, looked on incuriously, as though this was another formality of the hanging.",False,False,0,True,122,25,incuriously,11,",,,.",4
It was several minutes before someone managed to catch the dog.,False,False,0,False,63,12,several,7,.,1
"Then we put my handkerchief through its collar and moved off once more, with the dog still straining and whimpering.",False,False,0,False,116,22,handkerchief,12,",.",2
It was about forty yards to the gallows.,False,False,0,False,40,9,gallows,7,.,1
I watched the bare brown back of the prisoner marching in front of me.,False,False,0,True,70,15,prisoner,8,.,1
"He walked clumsily with his bound arms, but quite steadily, with that bobbing gait of the Indian who never straightens his knees.",False,False,0,True,129,25,straightens,11,",,.",3
"At each step his muscles slid neatly into place, the lock of hair on his scalp danced up and down, his feet printed themselves on the wet gravel.",False,False,0,False,145,31,themselves,10,",,.",3
"And once, in spite of the men who gripped him by each shoulder, he stepped slightly aside to avoid a puddle on the path.",False,False,0,True,120,27,shoulder,8,",,.",3
"It is curious, but till that moment I had never realized what it means to destroy a healthy, conscious man.",False,False,0,False,107,23,conscious,9,",,.",3
"When I saw the prisoner step aside to avoid the puddle, I saw the mystery, the unspeakable wrongness, of cutting a life short when it is in full tide.",False,False,0,False,150,33,unspeakable,11,",,,.",4
"This man was not dying, he was alive just as we were alive.",False,False,0,False,59,15,dying,5,",.",2
"All the organs of his body were working — bowels digesting food, skin renewing itself, nails growing, tissues forming — all toiling away in solemn foolery.",False,False,0,False,155,30,digesting,9,"—,,,—.",6
